iter	Passed	Remaining
0	1	126
1	2	117
2	3	110
3	5	122
4	6	120
5	7	116
6	8	115
7	9	114
8	11	111
9	12	113
10	14	114
11	15	112
12	16	108
13	17	106
14	18	104
15	19	101
16	20	99
17	21	97
18	22	95
19	23	93
20	24	91
21	25	90
22	26	89
23	27	87
24	28	86
25	30	86
26	31	86
27	33	86
28	35	85
29	36	86
30	38	85
31	39	83
32	40	82
33	41	80
34	43	80
35	44	78
36	45	77
37	46	75
38	47	74
39	48	72
40	49	71
41	50	70
42	51	68
43	52	66
44	53	65
45	54	64
46	55	62
47	57	61
48	58	60
49	59	59
50	60	58
51	61	57
52	63	55
53	64	54
54	65	53
55	66	52
56	67	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	86	32
73	87	30
74	88	29
75	89	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
