iter	Passed	Remaining
0	0	891
1	1	768
2	2	716
3	2	692
4	3	671
5	3	662
6	4	655
7	5	690
8	7	785
9	7	777
10	8	767
11	9	759
12	9	750
13	10	740
14	11	734
15	12	768
16	13	763
17	14	764
18	14	755
19	15	745
20	15	737
21	16	732
22	17	725
23	17	719
24	18	713
25	18	706
26	19	700
27	20	699
28	22	757
29	23	756
30	23	749
31	24	743
32	25	738
33	25	733
34	26	729
35	27	725
36	27	724
37	28	720
38	29	719
39	29	715
40	30	711
41	30	707
42	31	702
43	32	699
44	32	695
45	33	692
46	34	690
47	34	687
48	35	688
49	37	709
50	38	707
51	38	704
52	39	701
53	39	698
54	40	695
55	41	692
56	41	690
57	42	692
58	43	689
59	43	686
60	44	683
61	45	681
62	45	678
63	46	676
64	46	674
65	47	672
66	48	670
67	48	668
68	49	668
69	50	666
70	52	680
71	52	681
72	53	678
73	54	676
74	54	674
75	55	671
76	55	669
77	56	668
78	57	668
79	57	666
80	58	664
81	59	663
82	59	658
83	60	656
84	60	654
85	61	652
86	62	651
87	62	649
88	63	647
89	64	647
90	64	647
91	65	646
92	66	653
93	67	652
94	68	651
95	69	650
96	69	648
97	70	648
98	71	651
99	72	650
100	72	648
101	73	649
102	75	653
103	75	653
104	76	653
105	77	652
106	78	651
107	78	649
108	79	648
109	80	647
110	80	645
111	82	655
112	83	654
113	83	652
114	84	651
115	85	652
116	86	651
117	86	649
118	87	646
119	87	644
120	88	642
121	88	639
122	89	637
123	89	635
124	90	633
125	91	631
126	91	628
127	91	626
128	92	626
129	93	625
130	94	623
131	94	621
132	95	619
133	95	617
134	97	622
135	98	628
136	99	629
137	100	628
138	101	626
139	101	624
140	102	622
141	102	619
142	103	618
143	103	616
144	104	614
145	104	612
146	105	611
147	105	609
148	106	607
149	106	605
150	107	604
151	108	603
152	108	601
153	109	599
154	109	598
155	110	596
156	110	594
157	113	602
158	114	603
159	114	603
160	115	600
161	115	599
162	116	597
163	116	596
164	117	594
165	118	593
166	118	592
167	119	590
168	119	589
169	120	587
170	120	585
171	121	584
172	122	583
173	122	582
174	123	580
175	123	579
176	124	577
177	124	576
178	125	574
179	125	573
180	128	579
181	129	580
182	130	582
183	131	582
184	131	581
185	132	580
186	133	580
187	134	579
188	134	578
189	135	577
190	135	575
191	136	575
192	137	573
193	137	572
194	138	571
195	138	569
196	139	568
197	139	566
198	140	565
199	140	563
200	143	568
201	144	569
202	145	570
203	145	568
204	146	567
205	146	566
206	147	564
207	147	563
208	148	561
209	149	560
210	149	559
211	150	557
212	150	557
213	151	556
214	152	555
215	152	553
216	153	552
217	153	550
218	154	549
219	154	548
220	155	547
221	155	545
222	156	546
223	158	547
224	158	547
225	159	546
226	160	545
227	160	543
228	161	542
229	161	541
230	162	539
231	162	538
232	163	537
233	163	536
234	164	534
235	164	534
236	165	533
237	166	532
238	166	531
239	167	530
240	167	528
241	168	527
242	168	526
243	169	525
244	170	524
245	170	523
246	171	522
247	173	525
248	174	525
249	174	524
250	175	523
251	175	522
252	176	521
253	176	519
254	177	518
255	178	517
256	178	516
257	179	515
258	179	514
259	180	513
260	181	512
261	181	511
262	182	510
263	182	509
264	183	507
265	183	506
266	184	505
267	184	504
268	185	503
269	185	502
270	186	502
271	188	503
272	188	502
273	189	502
274	190	501
275	190	500
276	191	499
277	191	498
278	192	497
279	192	496
280	193	495
281	194	494
282	194	494
283	195	493
284	196	492
285	196	491
286	197	490
287	197	488
288	198	487
289	200	490
290	201	490
291	203	493
292	204	493
293	205	493
294	206	492
295	206	492
296	207	491
297	208	490
298	208	489
299	209	488
300	210	487
301	210	486
302	211	485
303	211	484
304	212	483
305	212	482
306	213	481
307	213	480
308	214	479
309	214	478
310	215	477
311	216	476
312	216	475
313	218	476
314	219	476
315	219	475
316	220	474
317	220	473
318	221	472
319	222	471
320	222	470
321	223	469
322	223	469
323	224	468
324	224	467
325	225	466
326	226	466
327	227	465
328	227	464
329	228	463
330	229	463
331	229	462
332	230	461
333	231	461
334	233	462
335	233	462
336	234	461
337	235	460
338	235	459
339	236	458
340	236	457
341	237	456
342	237	455
343	238	455
344	239	454
345	239	453
346	240	452
347	240	451
348	241	450
349	242	449
350	242	448
351	243	447
352	243	446
353	244	445
354	244	444
355	245	443
356	245	443
357	246	442
358	247	442
359	248	441
360	249	441
361	249	440
362	250	439
363	251	438
364	251	438
365	252	437
366	253	436
367	253	436
368	254	435
369	254	434
370	255	433
371	256	432
372	256	431
373	257	430
374	257	429
375	258	428
376	258	427
377	259	426
378	260	426
379	260	425
380	261	424
381	262	423
382	263	424
383	264	423
384	264	422
385	265	421
386	265	421
387	266	420
388	267	419
389	267	418
390	268	418
391	268	417
392	269	416
393	269	415
394	270	414
395	271	413
396	271	412
397	272	411
398	272	410
399	273	409
400	273	409
401	274	408
402	275	407
403	275	406
404	276	405
405	276	404
406	278	405
407	278	404
408	279	404
409	280	403
410	281	402
411	281	402
412	282	401
413	282	400
414	283	399
415	283	398
416	284	397
417	284	396
418	285	395
419	285	394
420	286	394
421	287	393
422	287	392
423	288	391
424	288	390
425	289	390
426	289	389
427	290	388
428	291	387
429	291	386
430	292	386
431	294	386
432	294	385
433	295	385
434	296	385
435	297	384
436	297	383
437	298	382
438	298	381
439	299	380
440	299	379
441	300	378
442	300	378
443	301	377
444	301	376
445	302	375
446	302	374
447	303	373
448	304	373
449	304	372
450	305	371
451	305	370
452	306	369
453	306	368
454	308	370
455	309	369
456	311	369
457	312	369
458	313	369
459	314	368
460	314	368
461	315	367
462	316	366
463	316	366
464	317	365
465	318	364
466	318	363
467	319	363
468	320	362
469	320	361
470	321	360
471	321	360
472	322	359
473	324	359
474	325	359
475	325	358
476	326	358
477	327	357
478	327	356
479	328	355
480	329	355
481	329	354
482	330	353
483	331	353
484	331	352
485	332	351
486	333	351
487	333	350
488	334	349
489	335	348
490	335	347
491	336	347
492	336	346
493	337	345
494	339	345
495	339	345
496	340	344
497	341	344
498	342	343
499	342	342
500	343	342
501	344	341
502	344	340
503	345	339
504	345	339
505	346	338
506	347	337
507	347	337
508	348	336
509	349	335
510	349	334
511	350	334
512	351	333
513	351	332
514	352	331
515	354	332
516	355	331
517	355	331
518	356	330
519	357	329
520	357	329
521	358	328
522	359	327
523	359	326
524	360	326
525	361	325
526	361	324
527	362	324
528	363	323
529	363	322
530	364	321
531	364	321
532	365	320
533	366	319
534	367	319
535	368	318
536	369	318
537	370	318
538	371	317
539	371	316
540	372	316
541	373	315
542	373	314
543	374	313
544	375	313
545	375	312
546	376	311
547	377	311
548	377	310
549	378	309
550	379	308
551	379	308
552	380	307
553	381	306
554	381	305
555	382	305
556	382	304
557	384	304
558	384	303
559	385	303
560	386	302
561	386	301
562	387	300
563	388	300
564	388	299
565	389	298
566	390	298
567	390	297
568	391	296
569	392	295
570	392	295
571	393	294
572	394	293
573	394	293
574	395	292
575	396	291
576	396	290
577	397	290
578	398	290
579	399	289
580	400	288
581	401	288
582	401	287
583	402	286
584	403	286
585	403	285
586	404	284
587	405	283
588	405	283
589	406	282
590	407	281
591	407	280
592	408	280
593	409	279
594	409	278
595	410	278
596	410	277
597	411	276
598	412	276
599	413	275
600	414	275
601	415	274
602	416	274
603	416	273
604	417	272
605	418	271
606	418	271
607	419	270
608	420	269
609	420	269
610	421	268
611	422	267
612	423	267
613	423	266
614	424	265
615	425	264
616	425	264
617	426	263
618	427	262
619	427	262
620	429	261
621	429	261
622	430	260
623	431	259
624	432	259
625	432	258
626	433	257
627	434	257
628	434	256
629	435	255
630	435	254
631	436	254
632	437	253
633	438	252
634	438	252
635	439	251
636	440	250
637	441	250
638	441	249
639	442	248
640	442	248
641	444	247
642	445	247
643	445	246
644	446	245
645	447	245
646	447	244
647	448	243
648	449	242
649	449	242
650	450	241
651	450	240
652	451	239
653	452	239
654	452	238
655	453	237
656	454	237
657	454	236
658	455	235
659	456	234
660	456	234
661	457	233
662	457	232
663	458	232
664	459	231
665	460	231
666	461	230
667	462	229
668	462	229
669	463	228
670	464	227
671	464	226
672	465	226
673	466	225
674	466	224
675	467	224
676	468	223
677	468	222
678	469	221
679	470	221
680	470	220
681	471	219
682	472	219
683	472	218
684	473	217
685	474	217
686	475	216
687	476	215
688	476	215
689	477	214
690	478	213
691	478	213
692	479	212
693	480	211
694	480	210
695	481	210
696	482	209
697	482	208
698	483	208
699	483	207
700	484	206
701	485	206
702	486	205
703	486	204
704	487	204
705	488	203
706	489	202
707	490	202
708	491	201
709	492	200
710	492	200
711	493	199
712	493	198
713	494	198
714	495	197
715	495	196
716	496	196
717	497	195
718	497	194
719	498	193
720	499	193
721	499	192
722	500	191
723	501	191
724	501	190
725	502	189
726	502	188
727	503	188
728	504	187
729	505	187
730	506	186
731	506	185
732	507	184
733	508	184
734	508	183
735	509	182
736	510	182
737	510	181
738	511	180
739	512	179
740	512	179
741	513	178
742	514	177
743	514	177
744	515	176
745	515	175
746	516	174
747	517	174
748	517	173
749	518	172
750	519	172
751	520	171
752	521	170
753	521	170
754	522	169
755	523	168
756	524	168
757	524	167
758	525	166
759	525	166
760	526	165
761	527	164
762	527	163
763	528	163
764	528	162
765	529	161
766	530	161
767	530	160
768	531	159
769	531	158
770	532	158
771	533	157
772	533	156
773	535	156
774	536	155
775	536	154
776	537	154
777	538	153
778	539	152
779	539	152
780	540	151
781	541	150
782	541	150
783	542	149
784	543	148
785	543	148
786	544	147
787	544	146
788	545	145
789	546	145
790	546	144
791	547	143
792	547	143
793	548	142
794	549	141
795	550	141
796	551	140
797	552	139
798	553	139
799	554	138
800	554	137
801	555	137
802	555	136
803	556	135
804	557	134
805	557	134
806	558	133
807	558	132
808	559	132
809	560	131
810	560	130
811	561	129
812	561	129
813	562	128
814	563	127
815	563	127
816	564	126
817	565	125
818	566	125
819	567	124
820	567	123
821	568	123
822	569	122
823	569	121
824	570	120
825	570	120
826	571	119
827	572	118
828	572	118
829	573	117
830	574	116
831	574	116
832	575	115
833	575	114
834	576	113
835	577	113
836	577	112
837	578	111
838	578	111
839	579	110
840	581	109
841	582	109
842	582	108
843	583	107
844	583	107
845	584	106
846	585	105
847	585	105
848	586	104
849	587	103
850	587	102
851	588	102
852	588	101
853	589	100
854	590	100
855	590	99
856	591	98
857	591	97
858	592	97
859	593	96
860	593	95
861	594	95
862	595	94
863	596	93
864	597	93
865	597	92
866	598	91
867	599	91
868	599	90
869	600	89
870	600	89
871	601	88
872	602	87
873	602	86
874	603	86
875	603	85
876	604	84
877	605	84
878	605	83
879	606	82
880	607	82
881	607	81
882	608	80
883	609	79
884	609	79
885	611	78
886	611	77
887	612	77
888	612	76
889	613	75
890	614	75
891	614	74
892	615	73
893	615	72
894	616	72
895	616	71
896	617	70
897	617	70
898	618	69
899	618	68
900	619	68
901	619	67
902	620	66
903	620	65
904	621	65
905	621	64
906	622	63
907	622	63
908	623	62
909	623	61
910	624	61
911	624	60
912	626	59
913	626	58
914	627	58
915	628	57
916	628	56
917	629	56
918	629	55
919	630	54
920	630	54
921	631	53
922	631	52
923	632	51
924	632	51
925	633	50
926	633	49
927	634	49
928	634	48
929	635	47
930	635	47
931	636	46
932	636	45
933	637	45
934	638	44
935	638	43
936	639	42
937	639	42
938	640	41
939	641	40
940	642	40
941	643	39
942	643	38
943	644	38
944	645	37
945	645	36
946	646	36
947	646	35
948	647	34
949	647	34
950	648	33
951	648	32
952	649	32
953	649	31
954	650	30
955	650	29
956	651	29
957	652	28
958	652	27
959	653	27
960	653	26
961	654	25
962	654	25
963	655	24
964	655	23
965	657	23
966	657	22
967	658	21
968	658	21
969	659	20
970	659	19
971	660	19
972	660	18
973	661	17
974	661	16
975	662	16
976	662	15
977	663	14
978	663	14
979	664	13
980	664	12
981	665	12
982	665	11
983	666	10
984	666	10
985	667	9
986	668	8
987	669	8
988	669	7
989	670	6
990	670	6
991	671	5
992	672	4
993	672	4
994	673	3
995	673	2
996	674	2
997	674	1
998	675	0
999	675	0
